Country,Population,Region,"Estimated prevalence of modern slavery per 1,000 population",Estimated number of people in modern slavery,Governance issues,Effects of conflict,Total Vulnerability score (%),"Risk factors, such as attitudes, social systems, and institutions that enable modern slavery are addressed (%)",Government response total (%),Survivors of slavery are identified and supported to exit and remain out of modern slavery (%)
Eritrea,3546000,Africa,90.28486633300781,320000,66.18913387002264,21.45218536870288,65.7164279135385,-21.4285717010498,5.128205299377441,-4.545454502105713
Estonia,1327000,Europe and Central Asia,4.113351345062256,5000,16.07526759259747,23.2163786979918,15.34476157802643,78.57142639160156,56.41025543212891,59.09090805053711
Eswatini,1160000,Africa,3.604331970214844,4000,71.28015573358302,3.750631234066919,59.38274135854581,57.14285659790039,35.89743423461914,27.27272796630859
Ethiopia,114964000,Africa,6.31956148147583,727000,53.65706146601519,70.01793720158469,67.22511824075579,57.14285659790039,44.87179565429688,40.90909194946289
Fiji,896000,Asia and the Pacific,,,,,,64.28571319580078,46.15384674072266,50
Finland,5541000,Europe and Central Asia,1.412570953369141,8000,11.8845063204236,21.55060952479973,5.416905107345813,71.42857360839844,60.25640869140625,54.54545593261719
France,65274000,Europe and Central Asia,2.061271667480469,135000,10.50455874436142,37.64338231648313,13.25262384676886,57.14285659790039,61.53845977783203,40.90909194946289
Gabon,2226000,Africa,7.609169483184814,17000,61.56153527297464,15.87788882516118,58.98436584009715,21.4285717010498,24.35897445678711,27.27272796630859
Gambia,2417000,Africa,6.546003341674805,16000,65.43706473701126,15.91187815417463,57.54879669703229,42.85714340209961,35.89743423461914,22.72727203369141
Georgia,3989000,Europe and Central Asia,7.793662071228027,31000,39.72281716567255,28.7427499567261,37.89671735119825,71.42857360839844,61.53845977783203,68.18181610107422
Germany,83784000,Europe and Central Asia,0.5649979114532471,47000,12.80268237746063,35.44177660053809,10.65647740958336,57.14285659790039,61.53845977783203,50
Ghana,31073000,Africa,2.932558059692383,91000,42.56810382310157,21.33235155660341,45.05815546676001,35.71428680419922,44.87179565429688,45.45454406738281
Greece,10423000,Europe and Central Asia,6.368064880371094,66000,17.26291742186766,31.20256565292679,20.89470876680199,64.28571319580078,61.53845977783203,68.18181610107422
Guatemala,17916000,Americas,7.820735931396484,140000,54.12695995175177,28.57291446951291,57.35570497341147,42.85714340209961,47.43589782714844,59.09090805053711
Guinea,13133000,Africa,4.023453235626221,53000,74.9363301669151,20.77666377711456,65.57711372844109,28.5714282989502,35.89743423461914,36.3636360168457
Guinea-Bissau,1968000,Africa,4.495571136474609,9000,82.87237061282242,11.04438866183143,80.0575807109044,57.14285659790039,33.33333206176758,31.81818199157715
Guyana,787000,Americas,4.188868522644043,3000,45.37737207362137,9.961719824818184,40.97456782269074,50,51.28205108642578,50
Haiti,11403000,Americas,8.21799087524414,94000,62.27720949373339,29.30029624593179,66.38134261556087,50,37.17948532104492,40.90909194946289
Honduras,9905000,Americas,6.95623779296875,69000,65.5059750376441,33.39274895433591,61.9891303997632,64.28571319580078,47.43589782714844,45.45454406738281
Hong Kong,7497000,Asia and the Pacific,2.762860774993896,21000,40.01804614556188,13.97411148144072,28.2149097296573,50,32.0512809753418,27.27272796630859
Hungary,9660000,Europe and Central Asia,6.565171718597412,63000,20.02203909100847,12.22191303802604,18.92211530903652,71.42857360839844,55.12820434570313,50
Iceland,341000,Europe and Central Asia,,,,,,50,47.43589782714844,54.54545593261719
India,1380004000,Asia and the Pacific,8.007246017456055,11050000,45.57354123673933,79.7398363224371,55.9801094613487,50,46.15384674072266,36.3636360168457
Indonesia,273524000,Asia and the Pacific,6.702832221984863,1833000,34.5456436580581,38.85667201875199,48.63253801383483,57.14285659790039,50,45.45454406738281
Iran,83993000,Asia and the Pacific,7.104307174682617,597000,79.86663904720065,40.20860913032434,68.45613063573391,0,7.692307472229004,-4.545454502105713
Iraq,40223000,Arab States,5.49226226733973,221000,77.8090190659309,83.41334450357374,82.30540812527585,28.5714282989502,33.33333206176758,40.90909194946289
Ireland,4938000,Europe and Central Asia,1.101991295814514,5000,13.76836076725436,17.76529499866711,9.333911783690326,64.28571319580078,62.82051467895508,59.09090805053711
Israel,8656000,Europe and Central Asia,3.792859554290771,33000,45.99268095073064,24.51913438257357,35.43303812106679,57.14285659790039,44.87179565429688,40.90909194946289
Italy,60462000,Europe and Central Asia,3.26297926902771,197000,22.08266688519975,25.89077412505026,21.69834077845412,78.57142639160156,58.97435760498047,50
Jamaica,2961000,Americas,7.287474155426025,22000,39.12395797110459,12.48038419393436,45.1316666188503,57.14285659790039,51.28205108642578,40.90909194946289
Japan,126476000,Asia and the Pacific,1.140809535980225,144000,16.78596474153698,18.88045537238894,11.43464895336334,57.14285659790039,43.58974456787109,45.45454406738281
Jordan,10203000,Arab States,10.005855967217204,102000,50.6820455571928,27.02740959636347,49.29815803249815,50,46.15384674072266,50
Kazakhstan,18777000,Europe and Central Asia,11.06179714202881,208000,53.51226741810376,21.45032329729989,42.07077800139496,64.28571319580078,46.15384674072266,45.45454406738281
Kenya,53771000,Africa,5.003462791442871,269000,56.75711974149249,63.20931082203171,66.17329184364702,50,46.15384674072266,54.54545593261719
Kosovo,0,Europe and Central Asia,8.021943092346191,14000,57.813724631415,1,40.35852075960894,35.71428680419922,44.5945930480957,59.09090805053711
Kuwait,4271000,Arab States,12.959253188009185,55000,43.78773322144627,30.97842510282887,38.91413149706471,42.85714340209961,37.17948532104492,36.3636360168457
Kyrgyzstan,6524000,Europe and Central Asia,8.725506782531738,57000,65.44235712836141,17.51382909834399,54.72198722532689,42.85714340209961,47.43589782714844,40.90909194946289
Lao PDR,7276000,Asia and the Pacific,5.161807537078857,38000,56.98328029318265,9.772104122664457,51.53891224566895,42.85714340209961,46.15384674072266,59.09090805053711
